1,cesar,solano,22,rhino,1234,Cedula,-1,masculino,csolanoc@unal.edu.co,bogota,-1,0,1
2,usuario10,apellido10,10,user10,pass10,cedula,10,femenino,email10,bogota,10,0,0
3,usuario11,apellido11,11,user11,pass11,cedula,11,femenino,email11,bogota,11,0,0
4,usuario12,apellido12,12,user12,pass12,cedula,12,femenino,email12,bogota,12,0,0
5,usuario13,apellido13,13,user13,pass13,cedula,13,femenino,email13,bogota,13,0,0
6,usuario14,apellido14,14,user14,pass14,cedula,14,femenino,email14,bogota,14,0,0
7,usuario15,apellido15,15,user15,pass15,cedula,15,femenino,email15,bogota,15,0,0
8,usuario16,apellido16,16,user16,pass16,cedula,16,femenino,email16,bogota,16,0,0
9,usuario17,apellido17,17,user17,pass17,cedula,17,femenino,email17,bogota,17,0,0
10,usuario18,apellido18,18,user18,pass18,cedula,18,femenino,email18,bogota,18,0,0
11,usuario19,apellido19,19,user19,pass19,cedula,19,femenino,email19,bogota,19,0,0
12,usuario20,apellido20,20,user20,pass20,cedula,20,femenino,email20,bogota,20,0,0
13,usuario21,apellido21,21,user21,pass21,cedula,21,femenino,email21,bogota,21,0,0
14,usuario22,apellido22,22,user22,pass22,cedula,22,femenino,email22,bogota,22,0,0
15,usuario23,apellido23,23,user23,pass23,cedula,23,femenino,email23,bogota,23,0,0
16,usuario24,apellido24,24,user24,pass24,cedula,24,femenino,email24,bogota,24,0,0
17,usuario25,apellido25,25,user25,pass25,cedula,25,femenino,email25,bogota,25,0,0
18,usuario26,apellido26,26,user26,pass26,cedula,26,femenino,email26,bogota,26,0,0
19,usuario27,apellido27,27,user27,pass27,cedula,27,femenino,email27,bogota,27,0,0
20,usuario28,apellido28,28,user28,pass28,cedula,28,femenino,email28,bogota,28,0,0
21,usuario29,apellido29,29,user29,pass29,cedula,29,femenino,email29,bogota,29,0,0
22,usuario30,apellido30,30,user30,pass30,cedula,30,femenino,email30,bogota,30,0,0
23,usuario31,apellido31,31,user31,pass31,cedula,31,femenino,email31,bogota,31,0,0
24,usuario32,apellido32,32,user32,pass32,cedula,32,femenino,email32,bogota,32,0,0
25,usuario33,apellido33,33,user33,pass33,cedula,33,femenino,email33,bogota,33,0,0
26,usuario34,apellido34,34,user34,pass34,cedula,34,femenino,email34,bogota,34,0,0
27,usuario35,apellido35,35,user35,pass35,cedula,35,femenino,email35,bogota,35,0,0
28,usuario36,apellido36,36,user36,pass36,cedula,36,femenino,email36,bogota,36,0,0
29,usuario37,apellido37,37,user37,pass37,cedula,37,femenino,email37,bogota,37,0,0
30,usuario38,apellido38,38,user38,pass38,cedula,38,femenino,email38,bogota,38,0,0
31,usuario39,apellido39,39,user39,pass39,cedula,39,femenino,email39,bogota,39,0,0
32,usuario40,apellido40,40,user40,pass40,cedula,40,femenino,email40,bogota,40,0,0
33,usuario41,apellido41,41,user41,pass41,cedula,41,femenino,email41,bogota,41,0,0
34,usuario42,apellido42,42,user42,pass42,cedula,42,femenino,email42,bogota,42,0,0
35,usuario43,apellido43,43,user43,pass43,cedula,43,femenino,email43,bogota,43,0,0
